T,Sd,Sv,Sa
4.999999999999999584e-02,1.083052343445865969e-04,6.769609485512343219e-03,6.270215225247328661e-01
5.111322345566068209e-02,1.093769153593380009e-04,6.759025596226726079e-03,5.794470181615412052e-01
5.225123224056604093e-02,1.129970392594736313e-04,6.458445734535447381e-03,5.069970501769656135e-01
5.341457818691345422e-02,1.171037523311429065e-04,6.084689267845729867e-03,4.837954236044708090e-01
5.460382541315133426e-02,1.201390303641185914e-04,5.808486174450536339e-03,4.793372646679562310e-01
5.581955059752576054e-02,1.231395766230939737e-04,5.681071587088585423e-03,4.912063243339842566e-01
5.706234325771785548e-02,1.266917751265604684e-04,6.084363005135723194e-03,5.090194874639896172e-01
5.833280603670688846e-02,1.324215048381111731e-04,7.027520054053375265e-03,5.190912772866310698e-01
5.963155499499823986e-02,1.435386409489291246e-04,8.089705231884788267e-03,5.172728548021093831e-01
6.095921990935729284e-02,1.577603066954512694e-04,9.101280384716190983e-03,5.981368938363413879e-01
6.231644457819478233e-02,1.724906828960362385e-04,1.003580625862994340e-02,6.813136923260274536e-01
6.370388713375127465e-02,1.915015701602518379e-04,1.090183105470171089e-02,7.624712717584187782e-01
6.512222036123233027e-02,2.143828112805926675e-04,1.182587324122876156e-02,8.494477747627025011e-01
6.657213202504889960e-02,2.374314998289332583e-04,1.307673441262984307e-02,9.780711362937228870e-01
6.805432520232139459e-02,2.575157658437051745e-04,1.392162839271408534e-02,1.071446264728114883e+00
6.956951862380905682e-02,2.722871283258117996e-04,1.470192926236367666e-02,1.111935979083790826e+00
7.111844702243000360e-02,2.822438153281085771e-04,1.522254083029077158e-02,1.106773802302527532e+00
7.270186148954062288e-02,2.894652283711273821e-04,1.571393787984376456e-02,1.075249440079053542e+00
7.432052983914765043e-02,2.975538970860167878e-04,1.682104693556526337e-02,1.045772827275041728e+00
7.597523698022903837e-02,3.093747333279388560e-04,1.792969100884357972e-02,1.083369246473298020e+00
7.766678529734441505e-02,3.226824152173831252e-04,1.917478461937555112e-02,1.140057046919641159e+00
7.939599503971975225e-02,3.429110198874148999e-04,2.032330208277163472e-02,1.191030918389063942e+00
8.116370471899446437e-02,3.631856021822065243e-04,2.125889824175831652e-02,1.270078063829993997e+00
8.297077151582452070e-02,3.828057540735576160e-04,2.201154815218978045e-02,1.387416961361537027e+00
8.481807169553808035e-02,3.994144244566648653e-04,2.280759126712467166e-02,1.478965370001031232e+00
8.670650103304573808e-02,4.094890164222551800e-04,2.400739987618632360e-02,1.520321587997386814e+00
8.863697524721082799e-02,4.766750539787198491e-04,2.699801708619931073e-02,1.771313743489728809e+00
9.061043044489106024e-02,5.303352124752530464e-04,3.187071423892295224e-02,1.984148045848100006e+00
9.262782357486634699e-02,6.015784341886066915e-04,3.465695365478131673e-02,2.132810066803592974e+00
9.469013289187312721e-02,6.385163857973103277e-04,3.627300411794064094e-02,2.116862838338652075e+00
9.679835843097034376e-02,6.932772268619196137e-04,3.696291986432501814e-02,2.072746603616165473e+00
9.895352249246648635e-02,7.642277207614441535e-04,4.087217924464561086e-02,2.130189943853640688e+00
1.011566701376436922e-01,7.959647639799332687e-04,4.396926912705829277e-02,2.411731943692079660e+00
1.034088696955187958e-01,8.432752219537866141e-04,4.573308552839629171e-02,2.533868300197072099e+00
1.057112132808870203e-01,9.214508237078612328e-04,5.030899550221562544e-02,2.639187814197621496e+00
1.080648173238996923e-01,1.042484001550941005e-03,5.633094147992021017e-02,2.880513860804555293e+00
1.104708231114327199e-01,1.192840286007931230e-03,6.305981629898316232e-02,3.264963979708432440e+00
1.129303973405084982e-01,1.285069382353985724e-03,6.631935636635170883e-02,3.459382496628554904e+00
1.154447326840392085e-01,1.372905958980415262e-03,6.939618673824293760e-02,3.487280036554441409e+00
1.180150483691662366e-01,1.409954838426387283e-03,7.139177889660504317e-02,3.732688106959448859e+00
1.206425907684759435e-01,1.549442087853666666e-03,7.729522786004063006e-02,3.991234846203536968e+00
1.233286340043787677e-01,1.652475767832412056e-03,8.076183646071699584e-02,4.138343487914411867e+00
1.260744805669440638e-01,1.769023660673733379e-03,8.646489879013689872e-02,4.310099963724414174e+00
1.288814619454912713e-01,1.942430359871635511e-03,9.020380759786694735e-02,4.492194206946662938e+00
1.317509392742425012e-01,2.273186391395004904e-03,1.050282791246707065e-01,4.891460948427692301e+00
1.346843039923507623e-01,2.463108866430953336e-03,1.090421451356219096e-01,5.282917869177215842e+00
1.376829785186231281e-01,2.395305944598761540e-03,1.084877393087144010e-01,5.130971787550188346e+00
1.407484169412663022e-01,2.212238700202005370e-03,1.022225322050586555e-01,4.625608751722615430e+00
1.438821057229888456e-01,2.234447416142170285e-03,1.029564056222307400e-01,4.565702555047268518e+00
1.470855644218024560e-01,2.313299286744984092e-03,1.015792145487319498e-01,4.574348426542696799e+00
1.503603464278712720e-01,2.376221698757145871e-03,1.024268918609227558e-01,4.550607027954804096e+00
1.537080397167667478e-01,2.386645918163376665e-03,1.026778290451091091e-01,4.479401533225130905e+00
1.571302676194933357e-01,2.412976721089527769e-03,9.798958435002808054e-02,4.436943015660277823e+00
1.606286896096585370e-01,2.549146192279468353e-03,9.347099330964561692e-02,4.225287169662797382e+00
1.642050021081687960e-01,2.675300241104893242e-03,9.843007228182977519e-02,3.952890914721676641e+00
1.678609393058412835e-01,2.583577235210070700e-03,9.491762010851184650e-02,3.685703127008109981e+00
1.715982740043312527e-01,2.443063919335748246e-03,8.930695500560989486e-02,3.440484379592573916e+00
1.754188184757814184e-01,2.247517398111364278e-03,8.277682343180170488e-02,3.388507868030212311e+00
1.793244253416119427e-01,2.193826542562626620e-03,7.964835997086346098e-02,3.328315274390027056e+00
1.833169884708750197e-01,2.189867408489471704e-03,7.752478420701851280e-02,3.252761288825401831e+00
1.873984438986121825e-01,2.191894365037957548e-03,7.684000173533109268e-02,3.162711239000015606e+00
1.915707707646571167e-01,2.205017556358499289e-03,7.348301719014091460e-02,3.057324578335403054e+00
1.958359922733413916e-01,2.089036651689908045e-03,7.125300468637690843e-02,2.940515747774743005e+00
2.001961766745667393e-01,2.115690599737434559e-03,6.688166646447979424e-02,2.818939157015034169e+00
2.046534382667211383e-01,2.084238110752475309e-03,6.636643166882018330e-02,2.688947400436965118e+00
2.092099384219235636e-01,2.013653860808417399e-03,6.527493883946781927e-02,2.548109352871863909e+00
